User,Trial,Choice_itemID,Choice_itemName,Choice_category,Pref_Purple,Pref_Blue,Pref_Green,Pref_Red,Pref_Orange,Pref_Risk,Pref_Hope,Pref_Safety,Pref_Vitality,Pref_Power,Pref_Literature,Pref_Physics,Pref_Music,Pref_History,Pref_Geography,Pref_Sea,Pref_Desert,Pref_City,Pref_Mountain,Pref_Village,Payoff_Purple,Payoff_Blue,Payoff_Green,Payoff_Red,Payoff_Orange,Payoff_Risk,Payoff_Hope,Payoff_Safety,Payoff_Vitality,Payoff_Power,Payoff_Literature,Payoff_Physics,Payoff_Music,Payoff_History,Payoff_Geography,Payoff_Sea,Payoff_Desert,Payoff_City,Payoff_Mountain,Payoff_Village,EV_Purple,Var_Purple,RPE_Purple,EV_Blue,Var_Blue,RPE_Blue,EV_Green,Var_Green,RPE_Green,EV_Red,Var_Red,RPE_Red,EV_Orange,Var_Orange,RPE_Orange,EV_Risk,Var_Risk,RPE_Risk,EV_Hope,Var_Hope,RPE_Hope,EV_Safety,Var_Safety,RPE_Safety,EV_Vitality,Var_Vitality,RPE_Vitality,EV_Power,Var_Power,RPE_Power,EV_Literature,Var_Literature,RPE_Literature,EV_Physics,Var_Physics,RPE_Physics,EV_Music,Var_Music,RPE_Music,EV_History,Var_History,RPE_History,EV_Geography,Var_Geography,RPE_Geography,EV_Sea,Var_Sea,RPE_Sea,EV_Desert,Var_Desert,RPE_Desert,EV_City,Var_City,RPE_City,EV_Mountain,Var_Mountain,RPE_Mountain,EV_Village,Var_Village,RPE_Village,Regret,Disappointment,Uncertainty
1,1,7.0,Hope,Abstract,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,1.0,,,,,,3.0,,,,,,,2.0,,,,4.0,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,3.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,,0.263157895
1,2,9.0,Vitality,Abstract,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,4.0,,,,,,2.0,,2.0,,,,,,,,2.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,2.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,,-1.0,0.357142857
1,3,12.0,Physics,Disciplines,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,2.0,,,,,,3.0,,,,2.0,,,,,,,,3.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,2.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,,-0.5,0.357142857
1,4,16.0,Sea,Places,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,,1.0,,3.0,,,,,,,,,2.0,4.0,,,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.2,4.2,4.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,,1.666666667,0.192307692
1,5,13.0,Music,Disciplines,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,,,4.0,,,,,2.0,,,2.0,,,,2.0,,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,2.0,0.0,1.0,,0.0,1.0,,1.2,4.2,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,,-0.75,0.357142857
1,6,19.0,Mountain,Places,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,,2.0,,,,,3.0,,,,,2.0,,,,,3.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,,0.0,1.0,,0.0,1.0,,1.2,4.2,,0.0,1.0,,0.0,1.0,,0.9,2.8,3.0,0.0,1.0,,,0.4,0.263157895
1,7,16.0,Sea,Places,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,1.0,,,,,3.0,,,,,2.0,,,,,4.0,,,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,,0.0,1.0,,0.0,1.0,,2.04,5.768,2.8,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,0.0,0.133333333,0.147754137
1,8,7.0,Hope,Abstract,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,4.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.23,3.042,1.1,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,,0.0,1.0,,0.0,1.0,,2.04,5.768,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,,-1.585714286,0.247402276
1,9,5.0,Orange,Color,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,,,3.0,,,,,2.0,,,,,2.0,,,,,3.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,3.0,0.0,1.0,,1.23,3.042,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,,0.0,1.0,,0.0,1.0,,2.04,5.768,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,,0.5125,0.263157895
1,10,18.0,City,Places,3,4,2,2,3,3,4,3,5,3,3,2,3,2,3,4,2,3,4,2,,,3.0,,,,,2.0,,,,,2.0,,,,,3.0,,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.9,2.8,,0.0,1.0,,1.23,3.042,,0.0,1.0,,0.6,1.8,,0.0,1.0,,0.0,1.0,,0.6,1.8,,0.6,1.8,,0.0,1.0,,0.0,1.0,,2.04,5.768,,0.0,1.0,,0.9,2.8,3.0,0.9,2.8,,0.0,1.0,,,0.455555556,0.263157895
